Overall	Text
-1	laugh out loud idiot bot you re advertising berniesanders just joked buildthewall to stop ocean rise from globalwarming
-1	who is polluting the air environment climatechange globalwarming
1	inspired hope from einstein eleanorroosevelt rumi and courseinmiracles globalwarming trumpism when
1	we re seeking out the coolest spots in colombo globalwarming
0	global warming levels masked by aerosols study cosmos cosmos globalwarming
-1	freaking out about nyc sea level rise is easy to do when you do not pay attention to history globalwarming
0	climate claim sea level rise could displace millions of us citizens via globalwarming
-1	climate depot aussie climate scientist arrested for fraud cop21 globalwarming climate climatechange
0	climatechange usa oops facing backlash clinton reverses herself on coal now says it globalwarming news
-1	globalwarming tcot millions in us at risk from rising seas study scientists are concern uniteblue cc sad
-1	globalwarming tcot nobel laureates to arctic council no more drilling noting that many uniteblue cc sad
0	does not think globalwarming exists and does not care about animalrights
-1	it mid march and already being dive bombed in my ear holes by mosquitos globalwarming humanbuffet whydotheylovemesomuch
0	the planet just obliterated another heat record via globalwarming
-1	dangerous global warming will happen sooner than thought study the guardian globalwarming
-1	earth sets terrifying new temperature record the new daily auspol globalwarming climatechange
-1	giant metaphor crashes through the ice in canada north irony globalwarming
0	globalwarming marc morano statement at cfact rio 20 press briefing
0	february breaks globaltemperature records greenhouse gases globalwarming via
1	health care tips health care tips scorpio globalwarming
0	february blows away global heat record february 2016 was by far the warmest february and the most globalwarming
1	please retweet climatechange globalwarming
0	globalwarming and implications that effect everyone still have chance to preservetheearth
-1	february breaks global temperature records by shocking amount climatechange globalwarming
0	globalwarming party time gt days after 500 000 us contribution green climate fund increases staff by 150
0	ya ll it getting hot up in here globalwarming
-1	today we had very british weather in sydney somethings broken globalwarming
0	earth is warming up globalwarming la tierra se esta calentando calentamientoglobal gt gt gt
0	the arctic and global warming stanly news and press globalwarming
-1	honestly if globalwarming was actually deathtospring would be leader of the fan club and would try to sway people to our cause
0	why cleanenergy is win win for the cleanair climate globalwarming divest
-1	love trees and oxygen hate globalwarming check out this initiative planting 10 000 new trees to restore forests
-1	could bright foamy wakes from ocean ships combat globalwarming geoengineering climate science tech debate
0	these days any glacier needs the tagline see it before it gone glacier globalwarming nature
0	this is the big one the globalwarming scam and kasich is all for it kasich and climatechange ohioprimary tcot
0	globalwarming the daily
0	the planet had its biggest temperature spike in modern history globalwarming tooreal
-1	my alma mater published research study concerning climatechange and globalwarming conservation uga
1	armastis gonna pick up one of these bad boys one day hummer h1 globalwarming exotics
1	armastis gonna pick up one of these bad boys one day hummer h1 globalwarming exotics
1	armastis gonna pick up one of these bad boys one day hummer h1 globalwarming exotics
1	gonna pick up one of these bad boys one day hummer h1 globalwarming exotics supercars instacars carpo
1	gonna pick up one of these bad boys one day hummer h1 globalwarming exotics supercars instacars carpo
