Overall	Text
0	laroche is probably birther and an antivax er
-1	totally agree with you greg it like the antivax paranoia in my eyes
-1	dark act defeated in senate as lawmakers receive tidal wave of calls from angry food consumers who are tired
-1	antivax is low key cultish suddenly everything is vaccine injury to the hardcore
0	what the difference between organic natural food labels finally solid explanation to help guide you
1	antivax has platform and that pretty cool
0	everyone irish on st patrick day inbox me if you can join us
0	bernie sanders stance on vaccines read this article before you vote for this guy
-1	where is the actual study mercola is the worst offender of non evidence based panic antivax and other bad advice
0	pharma highest paid execs from 2014 can move over way way over horizon pharma hznp has disclosed the 2015
-1	for fucks sake he jumped on the antivax bandwagon could this get any worse
0	viagra side effects enhance melanoma growth researchers discover
-1	good for them the vaccinated are spreading disease just one of many inserts antivax read inserts
-1	animal flu outbreak spreading to humans overuse of vaccines that spiraled out of control
-1	journal walks back seriously flawed study critical of merck gardasil in response to the retraction
0	what is monsanto carcinogenic herbicide doing in tampons
-1	children conceived through fertility procedures may face increased cancer leukemia risks study see more at
-1	alex will no longer be treated like an animal or subjected to restraints he will not be discriminated against
-1	there are currently at least 360 complaints filed throughout the federal court system over the side effects of
-1	opting out the moral right to religious and conscientious belief exemptions to vaccination see more at
-1	these 1959 reports show measles was considered mild infection
-1	vaccine refusal driving force behind measles outbreaks antivax provax
-1	imagine that you do not protect your kids from stuff you do not understand and they end up sick or dead antivax measles
0	figured as much just wondered if the int antivax conspiracists also had hand in
-1	study linking gardasil to behavioral abnormalities pulled from vaccine journal dr shoenfeld who is founder
-1	study linking gardasil to behavioral abnormalities pulled from vaccine journal dr shoenfeld who is founder
0	school suspends all vaccines after multiple students started collapsing after their shots
-1	harvard mumps outbreak students who are well immunized
1	vaccine radio law and news please share
0	human rights day 2015 human rights in childbirth as global movement
0	in may 2012 the first ever human rights in childbirth conference took place at the hague the conference brought
-1	stop the war on children exposing the comprehensive sexuality education agenda go to
-1	antivax propaganda is getting weird
-1	stop the war on children exposing the comprehensive sexuality education agenda go to
-1	low risk pregnant women urged to avoid hospital births nhs guidance from national institute for health and care
0	actually it does matter how you give birth whenever people discuss sections and natural childbirth one
1	anti co sleeping myth busted sleeping with your baby could prevent sids
0	how important is breast milk and delivery method to newborn health
-1	ignore the pointless paranoic idiocy spouted by the chemtrail antivax conspiraloon that is
-1	study linking gardasil to behavioral abnormalities pulled from vaccine journal peer reviewed article published
-1	dozen boys in england collapse after receiving meningococcal acwy vaccine public health officials in the
1	was in facebook group to support ben hammond from beginning left due to numerous antivax posts by his family
-1	the fear of simple fever if your child has low fever do you race to the medicine cabinet and reach for
1	who wants to market vaccines like burgers and soda
0	see how cite the cdc and you cite an antivax blog
1	please read some real science before endangering children health and lives with antivax propaganda
0	over the dad with the antivax wife he should have her listen to vaccines episode
1	please sign petition minister sir kindly publicize homeopathic immunization we would request you to kindly
-1	on the left my blog on the right antivax leader brett smith blog published today stopavn skeptic auspol
1	please do not waste your or anyone else time he an antivax 11 truther moon hoax troll muted
1	when you are scrolling thru funny vegan tweets and getting all excited to follow them but then you see they re antivax
0	do not bother is an antivax moon landing hoax troll
-1	abuse from antivax parent amanda mcdougall of perth abusive trolls will be publicly named shamed and reported
0	yeh time flies huh
-1	that was 2013 damn holy shit
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort via stopavn
0	is that not wrong
1	how do you make the music loop perfectly
-1	if antivax antigmo spent half as much energy going to school and learning science as you do fighting it we already have city on mars
0	that map should be all red antivax has no place in the modern world
-1	because was always told by several people groups that doing that was trivialising trans people and their actions as just phase
-1	oh correction all non antivax researchers are corrupt what huge difference
1	keeping it classy on the antivax side roll on the floor laughing
1	please join us in atlanta for the rally at the cdc on april 22 followed by an educational summit at life
-1	oh my god man on preaching antivax doctrine and conspiracy theory to bus driver
-1	sadly those cannot vaccinate for medical reasons at even higher risk due to antivax propaganda vaccineswork
1	what charming people the antivax cult attracts
0	well done treehugger deleting comments pointing out antivax untruths has got you in right pickle
-1	not sure if testimonial or bad thing from this leading antivax group admin to another antivaxer stopavn auspol
-1	if you read and understood the post you would have seen support compensation will never support antivax lies stopavn
0	are they pro mandates or pro choice pat says they antivax
1	rewatching house and loving the part in the second episode where he totally chews out an antivax woman lt house science
0	why saying no to vaccines during pregnancy
-1	thanks antivax folks for bringing back measles and putting all children at risk
-1	many us measles cases are in people who refuse vaccines antivax
-1	avsn is the peak antivax group in australia or they were until we exposed them
1	do the math antivax vaccines save lives
-1	medical establishment ignores cancer prevention rolls out experimental anti cancer vaccine learn more
0	oh forgot he flat earth moon landing hoax antivax troll
-1	did everything that was expected of me grimsby mother shares story of vaccine injury
-1	did everything that was expected of me grimsby mother shares story of vaccine injury
1	wow please do your research mommas novax novaccines crunchymom nogmo antivax
1	love parade join me this thursday nyc 3pm banners for all
-1	area man learns to fly unsuccessfully by doing his research videos antivax gmolabeling foodbabe
0	climatechangedeniers are as rational as flatearth proponents and antivax parents getwithit
0	substantial proportion of measles cases linked to anti vaxxers via antivax
1	all power to you kelly erwin happy
-1	five more stupid things about the anti vaccine movement via antivax vaccine vaccines movements
-1	if the antivax movement really cared about bigpharma they go after legitimate concerns like the price of chronic disease cancer meds
0	excerpts from tanya hammond interview anti semitic antivax homophobe crabb stopavn
-1	antivax logic if you question the cause of any claimed vaccine injury verified or not you re being cruel to all vaccine injured people
0	who are the experts advising meningitisb vaccine not given to older kids is there reason besides money antivax
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort auspol nojabnopay stopavn
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort via
0	and then presume back to the 18th century homeopathy antivax
-1	world renown neuropathologist has career destroyed for disproving shaken baby syndrome
-1	you used that family tragedy to further your antivax agenda and offensive
0	measles antivax
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort auspol stopavn nojabnopay
-1	low risk pregnant women urged to avoid hospital births
0	if you think vaccines cause sids autism you re antivax if you promote reduced or alternate vaccine schedule you re antivax
0	when you say vaccines cause autism despite no evidence you re antivax
0	when you say vaccines cause sids you re antivax
0	when you re against vaccination you are antivax
1	stopavn qld antivax activist confirms she and her friends all commit centrelink benefits rort one month ago
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort stopavn auspol nojabnopay
1	qld antivax activist confirms she and her friends all commit centrelink benefits rort
1	so appealing to antivax blog is appeal to authority fallacy
0	go back few links and this breaking news is from 3yo story by the antivax naturopath dave mihalovic hardly surprising
0	then give me peer reviewed journals not washing my time on antivax blogs
-1	yes if it an antivax blog that contradicts the overwhelming majority
0	provided it not an antivax website
1	extremely useful screenshot your own state and keep handy
-1	though the uni could hold sexpo but it sends the wrong message much like promoting antivax research does
-1	have an idea for an app that changes antivax to pro disease
0	it all one big mafia at the top erwin
-1	think twice before you get that flu shot antivax
-1	shocking although in some ways just repeat of the despicable treatment meted out to dr andrew wakefield
1	big pharma vaccines are safe says bigpharma funded study wakeupamerica antivax
-1	there is no such thing as the stomach flu via fearbabe foodbabe antivax weakestlink whatistheflu
-1	the antivax ableist jerk squad is the worst but know where they come from they come from realizing no one is going to take over for you
0	how much longer before the vaccination insanity ends erwin
-1	fluoride is also used as rat and cockroach poison avoid erwin
-1	brian conspiracy theory 93 health science education antivax thisisuow uow stopavn vaccination auspol
