Overall	Text
0	iss bound spacecraft and rocket rolled to launch pad nasa relnews
1	how smartphones helped nasa to build tiny satelites you can hold in your hand read more
0	nasa planetary conference to feature ceres mars pluto science results
1	hope all enjoying yourselves for nasa week next week we will follow up with faithfulblackmen week and following that is sfapril sfa
-1	humanism is religion nasa evolution all tax funded religions
-1	as nasa releases climate bombshell more questions raised over fracking climatic impact via
0	the big dipper photographed with an ipad space astrophotography kindle nasa
0	orion photographed with an ipad space astrophotography kindle nasa
0	two views of the moon space astrophotography kindle nasa
0	look at the apj paper on the possible new planet nasa space astrophysics
-1	nasa pursues burning desire to study fire safety in space nasa relnews
0	record warmth in february image of the day nasa
1	sun worship illuminati masons nasa
0	whoever at nasa made these statements clearly has not checked their own data february and march are typically
0	she with us nasa bestandbrightest
0	spacerace webinar tuesdays 30pm et and thursdays 00pm et nasa
0	spacerace webinar tuesdays 30pm et and thursdays 00pm et nasa
0	nasa did nasa astronaut scott kelly just admit to seeing aliens during his year in space nasa astronaut sco
0	nasa nasa needs to go back to the moon before mars mission while nasa says the first manned trip to mars
0	nasa apod 2013 april 11 darkened city science
0	did nasa astronaut scott kelly just admit to seeing aliens during his year in space the inquisitr nasa nasanews
0	nasa needs to go back to the moon before mars mission daily mail nasa nasanews
0	breaking news from nasa planetary conference to feature ceres mars pluto science results
0	24 people have flown to the moon but only 12 people have walked on the moon so 12 people went to the moon just to wait in the car nasa
0	record warmth in february nasa earth observatory
0	nasa nasa needs to go back to the moon before mars mission daily mail daily mailnasa needs to go back
1	nasa just released awesome footage that has revolutionized our understanding of mars nasa footage of mars
0	stem in 30 focus on the sr 71 blackbird nasa relnews
0	record warmth in february image of the day nasa science climatechange
0	oscars nominee arthurmax on working with nasa on new marsrover in themartian
0	nasa spacecraft nasa will light large fire on spacecraft nasa is into science
0	oscars nominee arthurmax on working with nasa to develop new marsrover in themartian
0	nasa spacecraft nasa will light large fire on spacecraft nasa is into science
0	nasa spacecraft nasa will light large fire on spacecraft nasa is into science
1	planet earth looking great in green today stpatricksday irish spacerocks ireland nasa esa
0	nasa spacecraft nasa will light large fire on spacecraft nasa is into science
0	nasa spacecraft nasa will light large fire on spacecraft nasa is into science
-1	lies only take you to hell along with nasa masons flatearth of god rules
0	ufosfacts news planetary conference to feature ceres mars pluto science results resear ufos ovnis nasa
0	nasa planetary conference to feature ceres mars pluto science results researchers from nasa and other inst
0	nasa breaking news planetary conference to feature ceres mars pluto science results researchers from nasa
0	nasa planetary conference to feature ceres mars pluto science results researchers from nasa and other inst
0	nasa update planetary conference to feature ceres mars pluto science results researchers from nasa and
0	nasa planetary conference to feature ceres mars pluto science results researchers from nasa and other inst
-1	ceres mysterious bright spots change unexpectedly nasa mufon
0	1975 nasa film explores the view of extraterrestrial life emerging from the results of probes to the planets
0	nasa women in action nasa relnews
1	super interesting film here narrated by orson wells this 1975 nasa film explores the view of extraterrestri
0	nasa planetary conference to feature ceres mars pluto science results researchers from nasa and other in
0	nasa planetary conference to feature ceres mars pluto science results researchers from nasa and oth space
1	nasa news planetary conference to feature ceres mars pluto science results love nasa
0	planetary conference to feature ceres mars pluto science results nasa
0	planetary conference to feature ceres mars pluto science results researchers from nasa and other inst nasa
0	breaking news from nasa breaking news nasa planetary conference to feature ceres mars pluto science results vi
0	planetary conference to feature ceres mars pluto science results via nasa nasa
0	planetary conference to feature ceres mars pluto science results via nasa nasa astronomy
0	planetary conference to feature ceres mars pluto science results via nasa worldnews
0	at least they reply this alone is worth more funding nasa space
0	nasa experiment start fire in space and see what happens
0	planetary conference to feature ceres mars pluto science results via nasa news geekynews geekinside
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa nasa space news via
-1	part of uofa talk by prof alcubierre re warp drive nasa space astrophysics sff
0	planetary conference to feature ceres mars pluto science results via nasa
-1	flatearth rules and is circle stop believing lying masons nasa nassholes
0	nasa women of stem nasa relnews
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa nasa
0	planetary conference to feature ceres mars pluto science results via nasa nasa
0	nasa planetary conference to feature ceres mars pluto science results
0	planetary conference to feature ceres mars pluto science results via nasa nasa breakingnews
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa becausescience nasa news
0	nasa planetary conference to feature ceres mars pluto science results
0	planetary conference to feature ceres mars pluto science results via nasa nasa space xplore other worlds
1	nasa giving away brilliant space travel posters for free via awesome science
1	planetary conference to feature ceres mars pluto science results via nasa breaking nasa amazing
0	planetary conference to feature ceres mars pluto science results via nasa nasa
0	planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results via nasa
0	nasa space planetary conference to feature ceres mars pluto science results via nasa
0	planetary conference to feature ceres mars pluto science results nasa
0	breakingnews nasa planetary conference to feature ceres mars pluto science results
0	nasa video earth from space real footage video from the internatio via
0	planetary conference to feature ceres mars pluto science results via nasa spacenews nasa
0	space news planetary conference to feature ceres mars pluto science results via nasa
-1	damn that shit must be true then laugh out loud nasa lies
0	nasa planetary conference to feature ceres mars pluto science results
