Overall	Text
0	doggy play date oscar pluto wains besties brosbeforehoes
0	planetary conference to feature ceres mars pluto science results researchers from nasa and other institut
0	pluto pulling up to sxsw
0	are pluto pebbled snakeskin slopes made of ancient stuff via space astronomy
0	pluto has big things planned stay tune for april
-1	unusual 270 mile wide bite mark on pluto surface baffles nasa space
0	hello from pluto pluto disney kids ninos funtimes orlando
-1	unusual 270 mile wide bite mark on pluto surface baffles nasa nasa space science
0	jupiter trines pluto an opportunity to take control believe that you can make difference you have the power to create lasting change
0	check out disneyland walt disney world japan coffee mug pluto mickey goofy minnie donald via
1	jupiter is trine pluto today it time to become your higherself astrology wednesdaywisdom awakening love
0	added another 10 nasa press release images to the lpi flickr page mars pluto tethys
0	on this day in history 1930 clydewtombaugh announced the discovery of the planet pluto coolfacts
0	ti archive new high resolution pics of pluto released by nasa nasa pluto resolution transmission
0	what is planet anyway the previews our newest exhibit space astronomy pluto
1	that agree tommy learned enough to get around it wish we could scrub presidents like planets pluto and downgraded to dwarf
0	science pluto color variations finally make sense starts with bang medium
1	pluto is not planet anymore but it still attracts attention why does it change colors due to sunlight
0	the heartside of pluto by hilburn pluto with heart on gets its first scifi series post newhorizonsflyby ebook
0	flying over pluto krun macula watch on youtube newhorizons plutoflyby pluto nasa
0	are pluto pebbled snakeskin slopes made of ancient stuff via
1	thisdayinhistory 1930 clyde tombaugh announced the discovery of the planet pluto lt aaaand it not planet any more
1	hope everyone has waggingwednesday pluto epcot flowerandgardenfestival wdw waltdisney waltdisneyworld
-1	public pluto talk aurora community college colorado 7pm fri mar 18th bring your qs
0	are you ready today trine between jupiter and pluto will bring change flow with it kikiscafe tip
1	jupiter trine pluto this is good sign that the economy is in recovery mode even though jupiter is
0	social pluto daily via twitter
-1	sagelinq science are pluto pebbled snakeskin slopes made of ancient stuff
0	pluto color variations finally make sense by space pluto astronomy
0	eat your heart out pluto pluto newhorizons
0	eat your heart out pluto pluto newhorizons
0	eat your heart out pluto pluto newhorizons
0	space astronomy are pluto pebbled snakeskin slopes made of ancient stuff via
0	didyouknow pluto was discovered by young research assistant in 1930
0	for 20 years at the end of the last century pluto was closer to the sun than neptune could have had lot less far to go
1	amazing talk at by on getting to pluto hosted by the wonderful
