Overall	Text
1	the angel is going to miss the athlete this weekend
-1	it looks as though shaq is getting traded to cleveland to play w lebron too bad for suns fans the big cactus is no more
1	april 9th is not coming soon enough
-1	drinking a mcdonalds coffee and not understanding why someone would hurt me for no appare not reason
1	so dissapointed taylor swift does not have a twitter
1	wishes i was on the spring fling tour with dawn amp neecee sigh grin  knight
1	got a sniffle got the kids and hubby just left to work in sydney for the weekend boo hoo
1	i ve only been in sydney for 3 hrs but i miss my friends especially
-1	xboxtweet not working again
1	are  i p to lebron kobe puppet commercials
1	allergies sucks sometimes theres a super adorable 9 month old beagle named sydney hanging out with my roomie and his friend can not pet
-1	has a broken iphone
1	line at mcdonalds was too long so i can not get my sausage biscuit on
-1	there is a virus going around congestion throw up amp high fever
1	i scratched my ipod
1	i do not understand i really do not
1	is our hero too love her wanna go see her in brisvegas again but sadly my bank balance wont let me
1	i hate the fact that i m genuinely excited about my last tweet
1	tula s sick nausious nasal congestion headache bodyaches and my nose is running a marathon theraflu please help
-1	hayfever time not good
1	i wish diversity was like one of those musicians with loads of stuff on youtube but no bgt
-1	oh no the cavs lost game 4 cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks
1	still sick feeling a bit better got some new medicine hope i feel good after a night of sleep ohh and it s suppose to snow what the fuck
-1	worked on 5 bone marrow cases today all for cancer
-1	it was a sleepless night
-1	ugh that s disconcerting
1	forgot about my english coursework amp my ipod is banjaxed today is just not my day
-1	too bad it s in seattle
1	my tweets are not going through
-1	439 calories 28 grams of fat 41 7 carbs by by mexi fry
-1	that reminds me of a bit howard stern did back in the day about oprah eating a lot i wish i could find it on the net
1	is wondering why it s always warm when she leaves london in the morning amp freezing when she gets to woking
1	oh no hope you re not getting sick too
1	sayyyy whaaaa i was not invited
-1	3 woke up and was having an accident quot it s pushing it s pushing quot he was crying because he could not stop from wetting his pants
-1	have 2 angel is our old get a life nearly 11 and sadie is her daughter angel s age catching up 2 her cancer joint failure
-1	hmm im usually dead rite now ugh skool monday no more oprah ellen or kathie lee and hoda i wish you   went to skool for a millisecond
